date,rate
2025-12-19,89.69
2025-12-22,89.65
2025-12-23,89.56
2025-12-24,89.74
2025-12-29,89.9
2025-12-30,89.8
2025-12-31,89.87
2026-01-02,90.2
2026-01-05,90.29
2026-01-06,90.15
2026-01-07,89.85
2026-01-08,89.93
2026-01-09,90.22
2026-01-12,90.16
2026-01-13,90.23
2026-01-14,90.3
2026-01-15,90.3
2026-01-16,90.73
2026-01-19,90.88
2026-01-20,90.96
2026-01-21,91.64
2026-01-22,91.59
2026-01-23,91.86
2026-01-26,91.76
2026-01-27,91.62
2026-01-28,91.94
2026-01-29,91.92
2026-01-30,91.94
2026-02-02,91.57
2026-02-03,90.14
2026-02-04,90.41
2026-02-05,90.31
2026-02-06,90.66
2026-02-09,90.73
2026-02-10,90.54
2026-02-11,90.71
2026-02-12,90.58
2026-02-13,90.61
2026-02-16,90.73
2026-02-17,90.7
2026-02-18,90.69
2026-02-19,91.19
2026-02-20,90.95
2026-02-23,90.9
2026-02-24,90.93
2026-02-25,90.95
2026-02-26,90.93
2026-02-27,91.08
2026-03-02,91.74
2026-03-03,92.15
2026-03-04,92.09
2026-03-05,91.65
2026-03-06,91.83
2026-03-09,92.3
2026-03-10,91.96
2026-03-11,92.07
2026-03-12,92.21
2026-03-13,92.38
2026-03-16,92.25
2026-03-17,92.37
2026-03-18,92.9
2026-03-19,93.25
2026-03-20,93.62
2026-03-23,93.22
2026-03-24,93.85
2026-03-25,93.94
2026-03-26,94.12
2026-03-27,94.81
2026-03-30,94.71
2026-03-31,93.83
2026-04-01,93.43
2026-04-02,93.1
2026-04-07,93.01
2026-04-08,92.22
2026-04-09,92.66
2026-04-10,92.89
2026-04-13,93.33
2026-04-14,93.09
2026-04-15,93.44
2026-04-16,93.24
2026-04-17,92.82
2026-04-20,93.07
2026-04-21,93.51
2026-04-22,93.8
2026-04-23,94.11
2026-04-24,94.25
2026-04-27,94.2
2026-04-28,94.55
2026-04-29,94.85
2026-04-30,94.92
2026-05-04,95.09
2026-05-05,95.28
2026-05-06,94.62
2026-05-07,94.26
2026-05-08,94.49
2026-05-11,95.32
2026-05-12,95.64
2026-05-13,95.67
2026-05-14,95.77
2026-05-15,95.97
2026-05-18,96.35
2026-05-19,96.54
2026-05-20,96.83
2026-05-21,96.21
2026-05-22,95.7
2026-05-25,95.24
2026-05-26,95.69
2026-05-27,95.69
2026-05-28,95.7
2026-05-29,95.0
2026-06-01,94.99
2026-06-02,95.27
2026-06-03,95.71
2026-06-04,95.78
2026-06-05,94.95
2026-06-08,95.71
2026-06-09,95.35
2026-06-10,95.27
2026-06-11,95.76
2026-06-12,95.12
2026-06-15,94.72
2026-06-16,94.56
2026-06-17,94.53
2026-06-18,94.34
2026-06-19,94.33
2026-06-22,94.68
2026-06-23,94.74
2026-06-24,94.67
2026-06-25,94.39
2026-06-26,94.4
2026-06-29,94.55
2026-06-30,94.66
2026-07-01,95.25
2026-07-02,95.39
2026-07-03,95.21
2026-07-06,95.4
2026-07-07,94.97
2026-07-08,95.56
2026-07-09,95.39
2026-07-10,95.34
2026-07-13,95.62
2026-07-14,96.2
2026-07-15,96.26
2026-07-16,96.35
2026-07-17,96.28
2026-07-20,96.45
2026-07-21,96.23
2026-07-22,96.57
